,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2208,PAST SALE,May-5-2017,Single Family Residential,19 Pheasant Run,Somers,CT,6071,389000.0,4.0,2.5,Somers,2676.0,40946.0,1993.0,1627.0,145.0,,Sold,,,http://www.redfin.com/CT/Somers/19-Pheasant-Run-06071/home/53777523,MLS PIN,72117975,N,Y,41.9975332,-72.4417066
2209,PAST SALE,October-6-2017,Single Family Residential,543 Springfield Rd,Somers,CT,6071,390000.0,4.0,2.5,Somers,2448.0,62726.0,2016.0,1473.0,159.0,,Sold,,,http://www.redfin.com/CT/Somers/543-Springfield-Rd-06071/home/53778010,Smart MLS,G10228198,N,Y,42.0202885,-72.4508485
2210,PAST SALE,,Single Family Residential,7 Cantor Knl,Ellington,CT,6029,586500.0,4.0,2.5,,3476.0,50530.0,2002.0,,169.0,,,,,http://www.redfin.com/CT/Ellington/7-Cantor-Knl-06029/home/54248046,,,N,Y,41.881853,-72.487043
2211,PAST SALE,July-7-2017,Single Family Residential,106 Shenipsit St,Ellington,CT,6029,256000.0,3.0,2.0,Ellington,1956.0,61855.0,1972.0,1564.0,131.0,,Sold,,,http://www.redfin.com/CT/Ellington/106-Shenipsit-St-06029/home/54249765,Smart MLS,G10205078,N,Y,41.8841476,-72.4403082
2212,PAST SALE,August-14-2017,Single Family Residential,2 Laurel Rd,Ellington,CT,6029,250000.0,3.0,2.0,Ellington,1708.0,25700.0,1955.0,1526.0,146.0,,Sold,,,http://www.redfin.com/CT/Ellington/2-Laurel-Rd-06029/home/54250252,Smart MLS,G10234547,N,Y,41.9095825,-72.4414927
2213,PAST SALE,August-31-2017,Single Family Residential,14 Glenwood Rd,Ellington,CT,6029,201000.0,3.0,1.0,Ellington,1351.0,23086.0,1954.0,1509.0,149.0,,Sold,,,http://www.redfin.com/CT/Ellington/14-Glenwood-Rd-06029/home/54250481,Smart MLS,G10220128,N,Y,41.9076705,-72.485379
2214,PAST SALE,October-4-2017,Single Family Residential,103 Snipsic Lake Rd,Ellington,CT,6029,165000.0,2.0,1.0,Ellington,1092.0,30056.0,1958.0,1475.0,151.0,,Sold,,,http://www.redfin.com/CT/Ellington/103-Snipsic-Lake-Rd-06029/home/54250626,Smart MLS,170001561,N,Y,41.8989051,-72.4525589
2215,PAST SALE,May-26-2017,Condo/Co-op,1 Abbott Rd #96,Ellington,CT,6029,131000.0,2.0,1.5,Ellington,932.0,,1984.0,1606.0,141.0,252.0,Sold,,,http://www.redfin.com/CT/Ellington/1-Abbott-Rd-06029/unit-96/home/54248972,Smart MLS,G10205507,N,Y,41.8709858,-72.4988079
2216,PAST SALE,August-31-2017,Single Family Residential,15 Earl St,Vernon,CT,6066,170000.0,3.0,2.0,Vernon,1488.0,13503.0,1946.0,1509.0,114.0,,Sold,,,http://www.redfin.com/CT/Vernon/15-Earl-St-06066/home/54338820,Smart MLS,G10227635,N,Y,41.8608533,-72.4393836
2217,PAST SALE,July-7-2017,Single Family Residential,24 Shaker Rd,Somers,CT,6071,240000.0,3.0,1.5,Somers,1917.0,17859.0,1949.0,1564.0,125.0,,Sold,,,http://www.redfin.com/CT/Somers/24-Shaker-Rd-06071/home/53777823,Smart MLS,G10220861,N,Y,41.9866258,-72.4909257
